# R (sigma)              P(R)
      0.300000       0.000061
      0.500000       0.000263
      0.700000       0.000869
      0.900000       0.003061
      1.100000       0.005657
      1.300000       0.012293
      1.500000       0.023960
      1.700000       0.038101
      1.900000       0.055283
      2.100000       0.074071
      2.300000       0.098222
      2.500000       0.125626
      2.700000       0.153919
      2.900000       0.185253
      3.100000       0.222939
      3.300000       0.256071
      3.500000       0.283505
      3.700000       0.307081
      3.900000       0.329081
      4.100000       0.339020
      4.300000       0.343889
      4.500000       0.338909
      4.700000       0.320990
      4.900000       0.294121
      5.100000       0.268323
      5.300000       0.233556
      5.500000       0.189434
      5.700000       0.154242
      5.900000       0.116303
      6.100000       0.084515
      6.300000       0.057960
      6.500000       0.037293
      6.700000       0.021596
      6.900000       0.013121
      7.100000       0.006646
      7.300000       0.003162
      7.500000       0.001444
      7.700000       0.000121
      7.900000       0.000040
