Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.080000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 980.438704   Box : 9.934366
Volume : 758.423224   Box : 9.119490
Volume : 578.417210   Box : 8.331958
Volume : 526.266242   Box : 8.073624
Volume : 428.364417   Box : 7.538260
Volume : 350.587214   Box : 7.051238
Volume : 322.962303   Box : 6.860945
Volume : 287.235720   Box : 6.598008
Volume : 276.523996   Box : 6.514948
Volume : 246.618771   Box : 6.271076
Volume : 256.728098   Box : 6.355618
Volume : 252.356770   Box : 6.319339
Volume : 251.457100   Box : 6.311820
Volume : 263.101527   Box : 6.407783
Volume : 265.502841   Box : 6.427218
Volume : 270.656006   Box : 6.468534
Volume : 262.083430   Box : 6.399507
Volume : 267.659211   Box : 6.444572
Volume : 262.006537   Box : 6.398881
Volume : 263.424960   Box : 6.410408
Volume : 251.698302   Box : 6.313838
Volume : 248.115153   Box : 6.283734
Volume : 248.057137   Box : 6.283244
Volume : 257.004388   Box : 6.357897
Volume : 264.539671   Box : 6.419437
Volume : 256.632989   Box : 6.354833
Volume : 257.275579   Box : 6.360133
Volume : 251.470974   Box : 6.311937
Volume : 249.154851   Box : 6.292498
Volume : 247.698721   Box : 6.280216
Volume : 244.237640   Box : 6.250828
Volume : 243.324928   Box : 6.243032
Volume : 246.144284   Box : 6.267051
Volume : 241.478804   Box : 6.227203
Volume : 249.831191   Box : 6.298187
Volume : 250.367912   Box : 6.302694
Volume : 251.024677   Box : 6.308200
Volume : 265.768803   Box : 6.429364
Volume : 256.753839   Box : 6.355831
Volume : 246.867257   Box : 6.273181
Volume : 253.102941   Box : 6.325561
Volume : 248.398348   Box : 6.286123
Volume : 241.595120   Box : 6.228202
Volume : 247.046536   Box : 6.274699
Volume : 252.706368   Box : 6.322256
Volume : 254.972783   Box : 6.341100
Volume : 271.224949   Box : 6.473064
Volume : 265.386105   Box : 6.426276
Volume : 271.626914   Box : 6.476260
Volume : 262.909497   Box : 6.406224
Volume : 258.215984   Box : 6.367873
Volume : 261.703220   Box : 6.396411
Volume : 269.426106   Box : 6.458722
Volume : 263.537285   Box : 6.411319
Volume : 252.956365   Box : 6.324340
Volume : 248.657701   Box : 6.288310
Volume : 243.564174   Box : 6.245077
Volume : 248.087774   Box : 6.283502
Volume : 263.999985   Box : 6.415069
Volume : 264.004987   Box : 6.415109
Volume : 254.895132   Box : 6.340456
Volume : 244.644906   Box : 6.254300
Volume : 236.755019   Box : 6.186330
Volume : 238.573668   Box : 6.202130
Volume : 241.167315   Box : 6.224524
Volume : 244.060805   Box : 6.249319
Volume : 230.626583   Box : 6.132484
Volume : 231.186055   Box : 6.137439
Volume : 229.326431   Box : 6.120939
Volume : 243.711274   Box : 6.246334
Volume : 241.036540   Box : 6.223399
Volume : 250.755573   Box : 6.305945
Volume : 263.294376   Box : 6.409348
Volume : 265.611236   Box : 6.428093
Volume : 276.837280   Box : 6.517407
Volume : 275.811487   Box : 6.509347
Volume : 278.266482   Box : 6.528604
Volume : 257.723853   Box : 6.363825
Volume : 256.274779   Box : 6.351875
Volume : 253.994559   Box : 6.332980
Volume : 257.340970   Box : 6.360672
Volume : 267.027939   Box : 6.439501
Volume : 260.627532   Box : 6.387635
Volume : 259.767173   Box : 6.380599
Volume : 254.063072   Box : 6.333550
Volume : 248.387960   Box : 6.286036
Volume : 256.890254   Box : 6.356956
Volume : 277.923087   Box : 6.525917
Volume : 279.030680   Box : 6.534575
Volume : 286.912173   Box : 6.595529
Volume : 274.137649   Box : 6.496153
Volume : 275.872264   Box : 6.509825
Volume : 271.777861   Box : 6.477459
Volume : 260.360526   Box : 6.385453
Volume : 262.863371   Box : 6.405849
Volume : 268.541355   Box : 6.451644
Volume : 270.395755   Box : 6.466460
Volume : 266.168992   Box : 6.432589
Volume : 259.123928   Box : 6.375328
Volume : 261.292145   Box : 6.393060
Volume : 251.223428   Box : 6.309865
Volume : 246.297335   Box : 6.268350
Volume : 229.170262   Box : 6.119549
Volume : 228.697344   Box : 6.115337
Volume : 231.685804   Box : 6.141859
Volume : 233.179744   Box : 6.155031
Volume : 225.866085   Box : 6.089996
Volume : 235.227936   Box : 6.173000
Volume : 243.699223   Box : 6.246231
Volume : 241.156793   Box : 6.224434
Volume : 242.761326   Box : 6.238208
Volume : 245.500169   Box : 6.261580
Volume : 232.743896   Box : 6.151194
Volume : 237.944595   Box : 6.196674
Volume : 235.126689   Box : 6.172115
Volume : 244.971266   Box : 6.257080
Volume : 238.357271   Box : 6.200254
Volume : 241.724076   Box : 6.229310
Volume : 239.808918   Box : 6.212815
Volume : 246.413257   Box : 6.269333
Volume : 258.086770   Box : 6.366810
Volume : 252.121793   Box : 6.317377
Volume : 252.835045   Box : 6.323329
Volume : 260.344289   Box : 6.385320
Volume : 263.490475   Box : 6.410939
Volume : 274.257781   Box : 6.497102
Volume : 271.019837   Box : 6.471432
Volume : 271.349320   Box : 6.474053
Volume : 274.732050   Box : 6.500844
Volume : 270.943729   Box : 6.470826
Volume : 270.199883   Box : 6.464899
Volume : 274.423667   Box : 6.498411
