Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.100000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 1000.675809   Box : 10.002252
Volume : 995.800109   Box : 9.985981
Volume : 993.607797   Box : 9.978647
Volume : 988.475460   Box : 9.961436
Volume : 983.851856   Box : 9.945880
Volume : 980.642682   Box : 9.935055
Volume : 976.681106   Box : 9.921658
Volume : 972.744236   Box : 9.908309
Volume : 972.610943   Box : 9.907857
Volume : 967.850815   Box : 9.891667
Volume : 958.043944   Box : 9.858144
Volume : 953.895667   Box : 9.843895
Volume : 949.103434   Box : 9.827382
Volume : 949.458796   Box : 9.828609
Volume : 943.128900   Box : 9.806718
Volume : 938.371545   Box : 9.790201
Volume : 931.617839   Box : 9.766657
Volume : 929.376538   Box : 9.758818
Volume : 928.566967   Box : 9.755984
Volume : 923.457805   Box : 9.738058
Volume : 925.588481   Box : 9.745542
Volume : 927.866960   Box : 9.753532
Volume : 922.409541   Box : 9.734372
Volume : 919.977045   Box : 9.725807
Volume : 913.045604   Box : 9.701320
Volume : 905.059249   Box : 9.672951
Volume : 903.276194   Box : 9.666595
Volume : 897.338309   Box : 9.645367
Volume : 890.492818   Box : 9.620777
Volume : 882.183327   Box : 9.590758
Volume : 879.420071   Box : 9.580734
Volume : 874.544520   Box : 9.562996
Volume : 872.779971   Box : 9.556560
Volume : 865.261407   Box : 9.529039
Volume : 862.254831   Box : 9.517989
Volume : 857.846308   Box : 9.501740
Volume : 847.008460   Box : 9.461556
Volume : 844.446437   Box : 9.452007
Volume : 840.475779   Box : 9.437169
Volume : 837.747802   Box : 9.426948
Volume : 838.216692   Box : 9.428706
Volume : 839.135283   Box : 9.432149
Volume : 837.068611   Box : 9.424399
Volume : 834.342330   Box : 9.414157
Volume : 828.116666   Box : 9.390683
Volume : 823.362224   Box : 9.372677
Volume : 821.636028   Box : 9.366122
Volume : 815.249524   Box : 9.341792
Volume : 813.286144   Box : 9.334286
Volume : 805.606568   Box : 9.304813
Volume : 806.022118   Box : 9.306413
Volume : 797.966393   Box : 9.275305
Volume : 788.561302   Box : 9.238720
Volume : 785.896809   Box : 9.228303
Volume : 781.223647   Box : 9.209975
Volume : 775.668976   Box : 9.188095
Volume : 772.483190   Box : 9.175499
Volume : 767.297134   Box : 9.154919
Volume : 761.909779   Box : 9.133443
Volume : 762.533253   Box : 9.135933
Volume : 759.937142   Box : 9.125554
Volume : 755.767331   Box : 9.108832
Volume : 749.718045   Box : 9.084464
Volume : 745.990340   Box : 9.069383
Volume : 745.492648   Box : 9.067365
Volume : 744.068672   Box : 9.061589
Volume : 740.236336   Box : 9.046005
Volume : 739.478130   Box : 9.042915
Volume : 734.509067   Box : 9.022614
Volume : 731.371701   Box : 9.009750
Volume : 731.185046   Box : 9.008983
Volume : 727.496976   Box : 8.993810
Volume : 725.654657   Box : 8.986212
Volume : 715.747492   Box : 8.945129
Volume : 714.452662   Box : 8.939732
Volume : 708.519992   Box : 8.914918
Volume : 704.040200   Box : 8.896090
Volume : 698.591492   Box : 8.873081
Volume : 698.269725   Box : 8.871718
Volume : 697.456340   Box : 8.868272
Volume : 693.801017   Box : 8.852752
Volume : 690.016444   Box : 8.836626
Volume : 681.274078   Box : 8.799148
Volume : 673.073574   Box : 8.763700
Volume : 671.343203   Box : 8.756184
Volume : 669.326468   Box : 8.747407
Volume : 663.300031   Box : 8.721075
Volume : 660.641301   Box : 8.709407
Volume : 656.443236   Box : 8.690919
Volume : 651.505968   Box : 8.669076
Volume : 639.279866   Box : 8.614505
Volume : 636.190865   Box : 8.600608
Volume : 630.833318   Box : 8.576397
Volume : 625.783596   Box : 8.553451
Volume : 621.082572   Box : 8.531979
Volume : 621.574009   Box : 8.534229
Volume : 616.691478   Box : 8.511824
Volume : 617.161767   Box : 8.513987
Volume : 615.403459   Box : 8.505894
Volume : 615.719171   Box : 8.507349
Volume : 611.997494   Box : 8.490173
Volume : 606.887437   Box : 8.466477
Volume : 602.864826   Box : 8.447729
Volume : 598.155495   Box : 8.425675
Volume : 592.400131   Box : 8.398564
Volume : 588.488376   Box : 8.380038
Volume : 582.050591   Box : 8.349368
Volume : 576.851125   Box : 8.324431
Volume : 575.701421   Box : 8.318897
Volume : 575.366334   Box : 8.317283
Volume : 574.051070   Box : 8.310941
Volume : 572.273308   Box : 8.302352
Volume : 569.950937   Box : 8.291106
Volume : 564.429439   Box : 8.264246
Volume : 562.767467   Box : 8.256126
Volume : 561.757438   Box : 8.251184
Volume : 554.237051   Box : 8.214198
Volume : 556.352914   Box : 8.224638
Volume : 550.557756   Box : 8.195981
Volume : 542.441623   Box : 8.155508
Volume : 539.029889   Box : 8.138373
Volume : 530.856730   Box : 8.097031
Volume : 526.422236   Box : 8.074421
Volume : 523.219620   Box : 8.058014
Volume : 521.392075   Box : 8.048621
Volume : 518.992196   Box : 8.036253
Volume : 522.822084   Box : 8.055972
Volume : 520.263543   Box : 8.042810
Volume : 521.665798   Box : 8.050029
Volume : 526.424318   Box : 8.074432
Volume : 526.189520   Box : 8.073231
Volume : 518.148167   Box : 8.031894
