#  Frame  Lambda[0]   Committor-value
   1   1.367630   0.44
   2001   1.366284   0.68
   4001   1.352379   0.36
   6001   1.351367   0.3
   8001   1.365763   0.56
   10001   1.368753   0.45
   12001   1.354420   0.46
   14001   1.349720   0.41
   16001   1.362659   0.53
   18001   1.370197   0.48
   20001   1.359104   0.41
   22001   1.367938   0.63
   24001   1.352561   0.49
   26001   1.349774   0.51
   28001   1.363825   0.5
   30001   1.366012   0.54
   32001   1.370348   0.55
   34001   1.355137   0.48
   36001   1.364856   0.66
   38001   1.363602   0.52
   40001   1.366860   0.62
   42001   1.360941   0.71
   44001   1.352581   0.49
   46001   1.352084   0.56
   48001   1.346792   0.35
   50001   1.365253   0.59
   52001   1.365132   0.62
   54001   1.362081   0.66
   56001   1.365357   0.68
   58001   1.372052   0.58
   60001   1.362290   0.58
   62001   1.344140   0.35
   64001   1.356403   0.4
   66001   1.358319   0.48
   68001   1.362844   0.67
   70001   1.363812   0.41
   72001   1.363478   0.55
   74001   1.356636   0.4
   76001   1.355073   0.51
   78001   1.362215   0.5
   80001   1.364561   0.42
   82001   1.358302   0.5
   84001   1.354717   0.45
   86001   1.359805   0.55
   88001   1.364923   0.31
   90001   1.360760   0.36
   92001   1.354728   0.48
   94001   1.358148   0.54
   96001   1.364260   0.56
   98001   1.365838   0.54
   100001   1.354398   0.49
   102001   1.351111   0.4
   104001   1.360615   0.5
   106001   1.367084   0.54
   108001   1.364735   0.52
   110001   1.363789   0.59
   112001   1.352488   0.49
   114001   1.352958   0.34
   116001   1.366544   0.51
   118001   1.362860   0.5
   120001   1.363124   0.55
   122001   1.354200   0.45
   124001   1.354788   0.32
   126001   1.363324   0.68
   128001   1.365662   0.54
   130001   1.359360   0.51
   132001   1.357283   0.49
   134001   1.359307   0.62
   136001   1.359875   0.7
   138001   1.361628   0.44
   140001   1.359703   0.55
   142001   1.357773   0.58
   144001   1.353429   0.6
   146001   1.355051   0.46
   148001   1.365173   0.59
   150001   1.365765   0.44
   152001   1.355544   0.49
   154001   1.353330   0.45
   156001   1.359875   0.52
   158001   1.373464   0.67
   160001   1.363383   0.51
   162001   1.346209   0.47
   164001   1.359365   0.51
   166001   1.373605   0.62
   168001   1.364102   0.59
   170001   1.350973   0.47
   172001   1.351114   0.39
   174001   1.362524   0.57
   176001   1.366934   0.6
   178001   1.359058   0.49
   180001   1.352089   0.44
   182001   1.358469   0.54
   184001   1.367710   0.53
   186001   1.362836   0.54
   188001   1.351865   0.52
   190001   1.358243   0.57
   192001   1.367046   0.61
   194001   1.363310   0.6
   196001   1.353152   0.34
   198001   1.354697   0.44
