 # R (sigma)              P(R)/dR
  0.10000000000000001       1.01010101010100996E-005
  0.30000000000000004       5.05050505050505050E-005
  0.50000000000000000       2.42424242424242392E-004
  0.70000000000000007       1.07070707070707058E-003
  0.90000000000000002       2.82828282828282785E-003
   1.1000000000000001       6.10101010101010092E-003
   1.3000000000000003       1.23939393939393946E-002
   1.5000000000000002       2.32525252525252538E-002
   1.7000000000000002       3.75151515151515152E-002
   1.9000000000000001       5.29393939393939389E-002
   2.1000000000000001       7.36060606060606054E-002
   2.3000000000000003       9.87373737373737209E-002
   2.5000000000000004       0.13045454545454546     
   2.7000000000000002       0.15948484848484845     
   2.9000000000000004       0.19052525252525251     
   3.1000000000000001       0.21839393939393939     
   3.3000000000000003       0.25174747474747472     
   3.5000000000000004       0.28596969696969693     
   3.7000000000000002       0.30287878787878786     
   3.9000000000000004       0.33057575757575758     
   4.0999999999999996       0.34398989898989901     
   4.2999999999999998       0.34680808080808079     
   4.5000000000000000       0.33709090909090911     
   4.7000000000000002       0.31937373737373737     
   4.9000000000000004       0.30019191919191918     
   5.0999999999999996       0.27017171717171717     
   5.2999999999999998       0.22927272727272727     
   5.5000000000000000       0.19357575757575757     
   5.7000000000000002       0.14752525252525253     
   5.9000000000000004       0.11346464646464646     
   6.0999999999999996       7.95050505050504952E-002
   6.2999999999999998       5.79494949494949521E-002
   6.5000000000000000       3.57070707070707011E-002
   6.7000000000000002       2.10202020202020154E-002
   6.9000000000000004       1.28181818181818171E-002
   7.0999999999999996       8.28282828282828239E-003
   7.2999999999999998       2.37373737373737384E-003
   7.5000000000000000       1.49494949494949499E-003
   7.7000000000000002       5.25252525252525209E-004
   7.9000000000000004       8.08080808080807972E-005
